#From the ACE website,,,,
Year,Month,Day,Time,DOY
1997,September,2,2230,DOY 245
1997,September,3,1030,DOY 246
1997,September,21,2130,DOY 264
1997,October,1,0100,DOY 274
1997,October,2,0630,DOY 275
1997,October,10,1530,DOY 283
1997,October,23,0730,DOY 296
1997,October,24,1030,DOY 297
1997,November,6,2202,DOY 310
1997,November,9,0952,DOY 313
1997,November,22,0900,DOY 326
1997,November,30,0705,DOY 334
1997,December,30,0130,DOY 364
1998,January,6,1330,DOY 6
1998,January,24,0500,DOY 24
1998,January,28,1600,DOY 28
1998,February,18,0750,DOY 49
1998,March,4,1100,DOY 63
1998,April,7,1700,DOY 97
1998,April,23,1728,DOY 113
1998,April,30,0843,DOY 120
1998,May,1,2122,DOY 121
1998,May,3,1700,DOY 123
1998,May,4,0215,DOY 124
1998,May,15,1357,DOY 135
1998,May,29,1500,DOY 149
1998,June,13,1856,DOY 164
1998,June,17,2050,DOY 168
1998,June,23,0710,DOY 174
1998,June,25,1543,DOY 176
1998,July,16,2330,DOY 197
1998,July,23,0045,DOY 204
1998,July,31,0915,DOY 212
1998,August,6,0644,DOY 218
1998,August,8,0130,DOY 220
1998,August,10,0015,DOY 222
1998,August,19,1732,DOY 231
1998,August,26,0615,DOY 238
1998,September,24,2315,DOY 267
1998,October,2,0700,DOY 275
1998,October,18,1900,DOY 291
1998,October,23,1230,DOY 296
1998,November,3,0300,DOY 307
1998,November,8,0400,DOY 312
1998,November,30,0415,DOY 334
1998,December,1,0245,DOY 335
1998,December,11,1930,DOY 345
1998,December,26,0930,DOY 360
1999,January,13,1000,DOY 13
1999,January,22,1945,DOY 22
1999,February,11,0745,DOY 42
1999,February,17,0620,DOY 48
1999,February,18,0200,DOY 49
1999,February,28,2030,DOY 59
1999,March,10,0045,DOY 69
1999,April,16,1030,DOY 106
1999,May,5,1457,DOY 125
1999,May,5,2330,DOY 125
1999,May,18,0000,DOY 138
1999,May,18,1910,DOY 138
1999,May,25,0950,DOY 145
1999,June,15,1150,DOY 166
1999,June,26,0218,DOY 177
1999,June,26,1920,DOY 177
1999,June,27,2230,DOY 178
1999,July,2,0030,DOY 183
1999,July,6,1420,DOY 187
1999,July,6,1920,DOY 187
1999,July,7,0700,DOY 188
1999,July,8,0400,DOY 189
1999,July,12,0115,DOY 193
1999,July,26,2230,DOY 207
1999,August,4,0115,DOY 216
1999,August,8,1750,DOY 220
1999,August,15,0945,DOY 227
1999,August,22,2245,DOY 234
1999,August,23,0730,DOY 235
1999,August,23,1130,DOY 235
1999,August,23,1500,DOY 235
1999,September,12,0320,DOY 255
1999,September,15,0715,DOY 258
1999,September,15,1945,DOY 258
1999,September,22,1145,DOY 265
1999,September,26,1420,DOY 269
1999,October,10,0020,DOY 283
1999,October,21,0130,DOY 294
1999,October,28,1130,DOY 301
1999,November,1,0600,DOY 305
1999,November,13,1210,DOY 317
1999,December,11,1200,DOY 345
1999,December,12,1510,DOY 346
1999,December,26,2130,DOY 360
2000,January,11,1340,DOY 11
2000,January,17,1720,DOY 17
2000,January,22,0023,DOY 22
2000,January,27,1400,DOY 27
2000,February,5,1450,DOY 36
2000,February,11,0213,DOY 42
2000,February,11,2318,DOY 42
2000,February,14,0656,DOY 45
2000,February,20,2045,DOY 51
2000,February,22,1143,DOY 53
2000,February,24,1408,DOY 55
2000,March,22,1757,DOY 82
2000,April,6,0255,DOY 97
2000,April,6,1604,DOY 97
2000,April,17,0940,DOY 108
2000,April,24,0852,DOY 115
2000,May,2,1045,DOY 123
2000,May,8,0601,DOY 129
2000,May,17,2139,DOY 138
2000,May,30,0120,DOY 151
2000,June,3,0803,DOY 155
2000,June,4,1423,DOY 156
2000,June,6,0300,DOY 158
2000,June,8,0841,DOY 160
2000,June,15,1131,DOY 167
2000,June,23,1227,DOY 175
2000,July,10,0557,DOY 192
2000,July,11,0150,DOY 193
2000,July,11,1123,DOY 193
2000,July,13,0918,DOY 195
2000,July,14,1500,DOY 196
2000,July,15,1415,DOY 197
2000,July,19,1448,DOY 201
2000,July,25,1322,DOY 207
2000,July,26,1755,DOY 208
2000,July,28,0543,DOY 210
2000,July,28,0910,DOY 210
2000,July,31,1816,DOY 213
2000,August,10,0407,DOY 223
2000,August,11,1810,DOY 224
2000,August,14,2136,DOY 227
2000,September,6,1613,DOY 250
2000,September,15,0359,DOY 259
2000,September,17,1657,DOY 261
2000,September,30,1038,DOY 274
2000,September,30,1606,DOY 274
2000,September,30,2124,DOY 274
2000,October,3,0008,DOY 277
2000,October,4,1336,DOY 278
2000,October,5,0241,DOY 279
2000,October,12,2145,DOY 286
2000,October,28,0541,DOY 302
2000,October,28,0908,DOY 302
2000,October,31,1630,DOY 305
2000,November,2,0405,DOY 307
2000,November,2,1821,DOY 307
2000,November,2,2347,DOY 307
2000,November,4,0134,DOY 309
2000,November,6,0915,DOY 311
2000,November,8,1320,DOY 313
2000,November,11,0401,DOY 316
2000,November,19,0143,DOY 324
2000,November,26,0500,DOY 331
2000,November,26,1124,DOY 331
2000,November,28,0457,DOY 333
2000,November,29,0523,DOY 334
2000,December,3,0321,DOY 338
2000,December,14,0637,DOY 349
2001,January,5,1800,DOY 5
2001,January,9,0442,DOY 9
2001,January,10,1520,DOY 10
2001,January,13,0140,DOY 13
2001,January,17,1531,DOY 17
2001,January,23,1006,DOY 23
2001,January,31,0722,DOY 31
2001,February,12,2045,DOY 43
2001,February,20,0054,DOY 51
2001,March,3,1040,DOY 62
2001,March,5,2135,DOY 64
2001,March,19,1023,DOY 78
2001,March,22,1242,DOY 81
2001,March,27,0110,DOY 86
2001,March,27,1715,DOY 86
2001,March,30,2140,DOY 89
2001,March,31,0023,DOY 90
2001,March,31,2256,DOY 90
2001,April,2,2351,DOY 92
2001,April,4,1422,DOY 94
2001,April,7,1659,DOY 97
2001,April,8,1032,DOY 98
2001,April,11,1314,DOY 101
2001,April,11,1528,DOY 101
2001,April,13,0706,DOY 103
2001,April,18,0005,DOY 108
2001,April,21,1508,DOY 111
2001,April,28,0431,DOY 118
2001,May,6,0706,DOY 126
2001,May,7,1750,DOY 127
2001,May,12,0920,DOY 132
2001,May,14,0206,DOY 134
2001,May,18,0050,DOY 138
2001,May,18,0917,DOY 138
2001,May,27,1418,DOY 147
2001,June,2,1148,DOY 153
2001,June,6,1021,DOY 157
2001,June,7,0852,DOY 158
2001,June,18,0154,DOY 169
2001,August,2,0855,DOY 214
2001,August,2,1406,DOY 214
2001,August,3,0625,DOY 215
2001,August,5,1155,DOY 217
2001,August,12,1050,DOY 224
2001,August,17,1016,DOY 229
2001,August,27,1919,DOY 239
2001,September,1,0046,DOY 244
2001,September,1,0108,DOY 244
2001,September,14,0119,DOY 257
2001,September,14,2100,DOY 257
2001,September,25,2005,DOY 268
2001,September,29,0906,DOY 272
2001,September,30,0905,DOY 273
2001,September,30,1846,DOY 273
2001,October,8,1221,DOY 281
2001,October,11,1620,DOY 284
2001,October,21,1612,DOY 294
2001,October,22,0013,DOY 295
2001,October,25,0801,DOY 298
2001,October,28,0242,DOY 301
2001,October,28,1926,DOY 301
2001,October,31,1254,DOY 304
2001,November,5,0155,DOY 309
2001,November,6,0125,DOY 310
2001,November,6,1910,DOY 310
2001,November,9,0403,DOY 313
2001,November,15,1354,DOY 319
2001,November,19,1735,DOY 323
2001,November,24,0538,DOY 328
2001,November,24,0800,DOY 328
2001,November,24,0900,DOY 328
2001,November,30,1728,DOY 334
2001,December,23,2200,DOY 357
2001,December,29,0447,DOY 363
2001,December,30,1932,DOY 364
2002,January,7,1126,DOY 7
2002,January,10,1544,DOY 10
2002,January,26,1535,DOY 26
2002,January,31,2040,DOY 31
2002,February,5,1614,DOY 36
2002,February,17,0209,DOY 48
2002,February,28,0403,DOY 59
2002,March,12,1726,DOY 71
2002,March,15,1827,DOY 74
2002,March,18,1236,DOY 77
2002,March,20,1305,DOY 79
2002,March,22,0323,DOY 81
2002,March,23,1053,DOY 82
2002,March,29,2141,DOY 88
2002,April,17,1021,DOY 107
2002,April,19,0802,DOY 109
2002,April,19,2050,DOY 109
2002,April,23,0415,DOY 113
2002,May,10,1030,DOY 130
2002,May,11,0925,DOY 131
2002,May,18,1919,DOY 138
2002,May,20,0300,DOY 140
2002,May,21,2100,DOY 141
2002,May,23,1015,DOY 143
2002,May,30,0132,DOY 150
2002,June,8,1029,DOY 159
2002,July,1,1016,DOY 182
2002,July,17,1526,DOY 198
2002,July,19,0932,DOY 200
2002,July,19,1450,DOY 200
2002,July,22,0451,DOY 203
2002,July,25,1259,DOY 206
2002,July,29,1240,DOY 210
2002,August,1,0424,DOY 213
2002,August,1,2219,DOY 213
2002,August,2,2333,DOY 214
2002,August,18,1810,DOY 230
2002,August,21,1717,DOY 233
2002,August,26,1041,DOY 238
2002,September,4,1754,DOY 247
2002,September,7,1610,DOY 250
2002,September,23,1555,DOY 266
2002,September,30,0721,DOY 273
2002,October,2,1001,DOY 275
2002,October,2,2214,DOY 275
2002,November,9,0028,DOY 313
2002,November,9,1754,DOY 313
2002,November,11,1152,DOY 315
2002,November,13,0405,DOY 317
2002,November,13,0451,DOY 317
2002,November,16,2305,DOY 320
2002,November,20,1019,DOY 324
2002,November,26,2110,DOY 330
2002,December,15,0043,DOY 349
2002,December,15,0100,DOY 349
2002,December,19,1852,DOY 353
2002,December,24,1315,DOY 358
2003,January,1,2059,DOY 001
2003,January,10,1340,DOY 010
2003,February,18,0759,DOY 049
2003,February,27,1333,DOY 58
2003,March,17,1920,DOY 76
2003,March,20,0420,DOY 79
2003,April,1,0236,DOY 91
2003,April,8,0015,DOY 98
2003,April,9,0745,DOY 99
2003,April,17,2100,DOY 107
2003,April,28,1830,DOY 118
2003,April,29,0809,DOY 119
2003,May,9,0455,DOY 129
2003,May,19,0905,DOY 139
2003,May,21,1852,DOY 141
2003,May,25,2148,DOY 145
2003,May,29,1152,DOY 149
2003,May,29,1825,DOY 149
2003,May,30,1600,DOY 150
2003,June,14,2230,DOY 165
2003,June,18,0429,DOY 169
2003,June,18,0845,DOY 169
2003,June,20,0756,DOY 171
2003,June,26,0726,DOY 177
2003,June,26,1348,DOY 177
2003,July,17,0007,DOY 198
2003,July,27,0439,DOY 208
2003,August,9,1611,DOY 221
2003,August,10,1013,DOY 222
2003,August,17,1341,DOY 229
2003,September,1,1703,DOY 244
2003,September,9,0318,DOY 252
2003,September,26,0500,DOY 269
2003,September,30,2107,DOY 273
2003,October,2,1127,DOY 275
2003,October,2,1544,DOY 275
2003,October,6,0300,DOY 279
2003,October,12,2353,DOY 285
2003,October,13,0637,DOY 286
2003,October,14,1627,DOY 287
2003,October,24,1448,DOY 297
2003,October,26,0809,DOY 299
2003,October,26,1832,DOY 299
2003,October,28,0131,DOY 301
2003,October,29,0558,DOY 302
2003,October,30,1619,DOY 303
2003,November,4,0559,DOY 308
2003,November,6,1919,DOY 310
2003,November,15,0519,DOY 319
2003,November,20,0727,DOY 324
2003,November,21,0616,DOY 325
2003,November,30,1238,DOY 334
2003,December,7,1342,DOY 341
2003,December,30,2039,DOY 364
2004,January,6,1925,DOY 006
2004,January,22,0105,DOY 022
2004,January,23,1425,DOY 023
2004,January,26,1840,DOY 026
2004,March,10,0710,DOY 070
2004,April,3,0900,DOY 094
2004,April,9,0200,DOY 100
2004,April,10,1930,DOY 101
2004,April,12,1745,DOY 103
2004,April,24,0810,DOY 115
2004,July,12,0705,DOY 194
2004,July,16,2105,DOY 198
2004,July,22,0955,DOY 204
2004,July,24,0545,DOY 206
2004,July,26,2230,DOY 208
2004,August,30,2140,DOY 243
2004,September,13,1940,DOY 257
2004,September,22,0600,DOY 266
2004,November,7,0155,DOY 312
2004,November,7,1000,DOY 312
2004,November,7,1755,DOY 312
2004,November,9,0910,DOY 314
2004,November,9,1830,DOY 314
2004,December,5,0700,DOY 340
2004,December,29,1235,DOY 364
2005,January,11,2000,DOY 11
2005,January,21,1645,DOY 21
2005,February,19,0545,DOY 50
2005,April,5,0245,DOY 95
2005,May,15,0205,DOY 135
2005,May,29,0905,DOY 136
2005,May,28,0330,DOY 148
2005,June,14,1755,DOY 165
2005,June,16,0810,DOY 167
2005,July,10,0250,DOY 191
2005,July,16,0150,DOY 197
2005,July,17,0055,DOY 198
2005,August,1,0605,DOY 213
2005,August,24,0545,DOY 236
2005,August,24,0820,DOY 236
2005,September,2,1339,DOY 245
2005,September,2,1450,DOY 245
2005,September,9,1325,DOY 252
2005,September,11,0100,DOY 254
2005,September,12,0605,DOY 255
2005,September,15,0830,DOY 258
2005,October,8,0610,DOY 281
2005,November,2,1730,DOY 306
2006,January,1,1325,DOY 1
2006,April,13,1112,DOY 103
2006,May,7,0655,DOY 127
2006,July,9,2055,DOY 190
2006,July,28,1057,DOY 209
2006,August,7,1940,DOY 219
2006,August,19,1055,DOY 231
2006,August,28,0235,DOY 240
2006,September,3,2328,DOY 246
2006,September,24,0600,DOY 267
2006,October,1,0900,DOY 274
2006,November,23,0243,DOY 327
2006,December,8,0420,DOY 342
2006,December,14,1400,DOY 348
2006,December,16,1722,DOY 350
2006,December,18,0921,DOY 352
2007,May,7,0725,DOY 127
2007,July,27,0358,DOY 208
2007,November,12,2125,DOY 316
2007,December,10,1520,DOY 344
2007,December,17,0204,DOY 351
2008,January,4,2146,DOY 004
2008,January,6,0600,DOY 006
2008,June,24,1919,DOY 176
2008,August,8,2200,DOY 221
2008,August,10,0347,DOY 223
2008,October,28,0600,DOY 302
2008,November,24,2248,DOY 329
2009,March,11,2200,DOY 070
2009,April,5,0500,DOY 095
2009,April,16,1600,DOY 106
2009,May,28,0500,DOY 148
2009,May,28,0830,DOY 148
2009,June,24,1000,DOY 175
2009,June,24,1500,DOY 175
2010,February,15,1800,DOY 46
2010,April,2,0630,DOY 92
2010,April,9,0750,DOY 95
2010,April,11,1200,DOY 101
2010,August,3,1700,DOY 215
2011,January,28,1545,DOY 028
2011,January,31,1505,DOY 031
2011,February,4,0133,DOY 035
2011,February,14,1456,DOY 045
2011,February,18,0004,DOY 049
2011,March,10,0610,DOY 069
2011,March,29,1502,DOY 088
2011,April,6,0953,DOY 096
2011,April,18,0556,DOY 108
2011,June,4,1958,DOY 155
2011,June,10,0800,DOY 161
2011,June,11,2025,DOY 162
2011,June,17,0201,DOY 168
2011,July,6,0212,DOY 187
2011,August,4,2105,DOY 216
2011,September,9,1143,DOY 252
2011,September,9,1215,DOY 252
2011,September,17,0300,DOY 260
2011,September,25,1105,DOY 268
2011,September,26,1152,DOY 269
2011,October,5,0646,DOY 278
2011,October,24,1746,DOY 297
2011,October,30,0855,DOY 303
2011,November,1,0815,DOY 305
2011,November,12,0518,DOY 316
2011,November,28,2115,DOY 332
2011,December,18,1747,DOY 352
2012,January,1,1700,DOY 001
2012,January,2,0058,DOY 002
2012,January,21,0400,DOY 021
2012,January,22,0600,DOY 022
2012,January,24,1430,DOY 024
2012,January,26,0205,DOY 026
2012,January,30,1530,DOY 030
2012,February,20,0445,DOY 051
2012,February,22,0100,DOY 053
2012,February,26,2100,DOY 057
2012,March,7,0335,DOY 067
2012,March,11,1300,DOY 071
2012,March,12,0842,DOY 072
2012,March,15,1230,DOY 075
2012,March,24,1105,DOY 084
2012,April,12,0840,DOY 103
2012,April,13,0230,DOY 104
2012,April,13,0845,DOY 104
2012,April,23,0230,DOY 114
2012,April,25,0900,DOY 116
2012,May,3,0115,DOY 124
2012,May,9,2200,DOY 130
2012,May,17,2200,DOY 138
2012,May,20,0230,DOY 141
2012,May,21,1845,DOY 142
2012,June,10,0400,DOY 162
2012,June,16,0855,DOY 168
2012,June,16,1930,DOY 168
2012,June,16,2039,DOY 168
2012,June,30,1606,DOY 182
2012,July,14,1730,DOY 196
2012,July,20,0430,DOY 202
2012,July,21,1530,DOY 203
2012,August,10,0410,DOY 223
2012,September,3,1125,DOY 247
2012,September,12,2005,DOY 256
2012,September,30,1000,DOY 274
2012,September,30,2214,DOY 274
2012,October,8,0430,DOY 282
2012,October,31,1440,DOY 305
2012,November,12,2230,DOY 317
2012,November,23,2100,DOY 328
2012,November,26,0436,DOY 331
2012,December,4,1001,DOY 339
2012,December,14,1850,DOY 349
2013,January,18,1200,DOY 018
2013,January,19,1645,DOY 019
2013,February,13,0030,DOY 044
2013,February,16,1130,DOY 047
2013,March,15,0530,DOY 074
2013,March,17,0600,DOY 076
2013,March,20,1130,DOY 079
2013,March,23,1730,DOY 082
2013,April,13,2300,DOY 103
2013,April,23,0335,DOY 114
2013,April,30,0900,DOY 120
2013,May,18,0000,DOY 138
2013,May,19,2220,DOY 139
2013,May,24,1730,DOY 144
2013,May,25,0900,DOY 145
2013,May,25,2100,DOY 145
2013,May,31,1530,DOY 151
2013,June,2,0230,DOY 153
2013,June,10,0230,DOY 161
2013,June,27,1330,DOY 178
2013,July,9,2000,DOY 190
2013,August,24,0000,DOY 236
2013,September,2,0200,DOY 245
2013,October,2,0120,DOY 275
2013,October,8,1330,DOY 281
2013,October,8,2000,DOY 281
2013,October,26,2145,DOY 299
2013,December,8,0700,DOY 342
2013,December,13,1200,DOY 347
2014,January,7,1425,DOY 007
2014,February,8,1617,DOY 038
2014,February,15,1235,DOY 046
2014,February,17,0510,DOY 048
2014,February,19,0309,DOY 050
2014,February,20,0251,DOY 51
2014,February,20,0255,DOY 51
2014,February,27,1608,DOY 58
2014,March,1,2000,DOY 60
2014,March,13,1949,DOY 072
2014,March,25,1925,DOY 84
2014,April,4,1754,DOY 94
2014,April,19,1755,DOY 109
2014,April,20,1022,DOY 110
2014,May,3,1649,DOY 123
2014,May,7,2133,DOY 127
2014,May,29,0829,DOY 149
2014,June,7,1608,DOY 158
2014,June,8,0123,DOY 159
2014,June,10,0459,DOY 161
2014,June,21,0741,DOY 172
2014,June,23,2200,DOY 174
2014,July,2,2325,DOY 183
2014,July,6,0941,DOY 187
2014,July,14,1329,DOY 195
2014,August,19,0600,DOY 231
2014,August,27,0155,DOY 239
2014,September,11,2256,DOY 254
2014,September,12,1526,DOY 255
2014,November,1,0630,DOY 305
2014,November,10,0200,DOY 314
2014,December,21,0240,DOY 355
2014,December,21,1823,DOY 355
2014,December,22,1428,DOY 356
2014,December,23,1130,DOY 357
2015,January,7,0528,DOY 007
2015,January,26,0700,DOY 026
2015,February,2,0430,DOY 033
2015,March,11,0425,DOY 070
2015,March,17,0405,DOY 076
2015,March,21,2100,DOY 080
2015,March,31,0741,DOY 090
2015,April,30,0422,DOY 120
2015,May,6,0053,DOY 126
2015,May,13,0933,DOY 133
2015,June,5,0820,DOY 156
2015,June,8,1045,DOY 159
2015,June,12,1215,DOY 163
2015,June,14,2105,DOY 165
2015,June,16,1800,DOY 167
2015,June,21,1540,DOY 172
2015,June,22,0451,DOY 173
2015,June,22,1759,DOY 173
2015,June,24,1300,DOY 175
2015,July,13,0102,DOY 194
2015,August,15,0745,DOY 227
2015,September,20,0527,DOY 263
2015,October,24,1826,DOY 297
2015,November,3,1111,DOY 307
2015,November,4,0323,DOY 308
2015,November,6,1735,DOY 310
2015,November,18,1900,DOY 322
2015,December,7,1211,DOY 341
2015,December,14,1220,DOY 348
2015,December,19,1528,DOY 353
2015,December,31,0000,DOY 365
2016,January,6,0105,DOY 006
2016,January,18,2055,DOY 018
2016,January,21,1000,DOY 021
2016,February,13,1508,DOY 044
2016,March,1,0430,DOY 061
2016,March,11,1900,DOY 071
2016,March,14,1622,DOY 074
2016,March,14,2225,DOY 074
2016,April,12,1945,DOY 103
2016,April,13,0031,DOY 104
2016,April,14,0650,DOY 105
